orcid	wikidata	twitter	github
0000-0001-5524-2291	Q102687967	mattbrehmer	
0000-0002-9910-9561	Q60729357		
0000-0001-7554-2558	Q76510600		
0000-0001-8637-6719	Q88876065		
0000-0003-2046-6193	Q63954026		
0000-0002-1997-2972	Q98662696		
0000-0003-2894-1024	Q56876433	estebanmoro	emoro
0000-0003-2515-4113	Q91174580		
0000-0001-7131-4638	Q91494456		
0000-0002-7951-4762	Q87230409	jtnystrom	
0000-0003-3152-2920	Q93333466		
0000-0002-6191-2180	Q109246948		
0000-0001-8417-5606	Q49490615		
0000-0001-7250-4484	Q42889483		
0000-0002-4072-6637	Q50619411		
0000-0001-8975-2783	Q5233944		
0000-0003-0307-1907	Q51703948	proulxstephen2	
0000-0002-7679-3962	Q79472664		
0000-0001-5237-1899	Q79611565		
0000-0003-3200-0059	Q79623876		
0000-0003-2515-9731	Q70882700	zoemclaren	
0000-0001-7264-9448	Q56102334		
0000-0003-3767-5346	Q41740335		
0000-0001-9105-5960	Q56427730		
0000-0001-8758-7761	Q88079711		
0000-0002-2450-513X	Q21263540		
0000-0002-5758-9093	Q78084411		
0000-0002-5924-2464	Q56951851		
0000-0002-8878-5505	Q42430183		
0000-0001-8551-5609	Q89018655		
0000-0002-7274-5971	Q57434649		
0000-0002-1376-1058	Q89238470		
0000-0001-8277-5907	Q43199255		
0000-0002-0222-4177	Q43250504		
0000-0001-6765-8761	Q59698740		
0000-0002-1326-9928	Q99418576		
0000-0003-3148-6296	Q45679730		
0000-0002-1682-5440	Q83216766		
0000-0002-7462-2668	Q58404531	m_outreach	
0000-0003-0041-5989	Q56396220	ericmjl	ericmjl
0000-0001-8191-1997	Q47300281		
0000-0002-9306-9968	Q88318763		
0000-0001-8713-9213	Q41047284	GreeneScientist	
0000-0002-7558-1028	Q29043481	robysinatra	
0000-0002-8200-4026	Q30509631		
0000-0002-1680-3364	Q86898946		
0000-0002-8270-4831	Q57529439		
0000-0003-3508-602X	Q57699198	BastianDrees	
0000-0002-6804-7441	Q91360771		
0000-0002-7417-8675	Q92188019		
0000-0001-8841-2840	Q101462868		
0000-0002-1964-5787	Q59696743		
0000-0002-6537-6899	Q59706347		
0000-0002-9254-5934	Q88555292		
0000-0002-9101-4381	Q100391396		
0000-0003-2168-1776	Q63989250		
0000-0003-4497-1725	Q64014531		
0000-0002-2787-7166	Q57839774	weiglemc	
0000-0001-9472-842X	Q111685445		
0000-0002-3804-6229	Q87659704		
0000-0001-6059-0688	Q23086045	gernotwagner	
0000-0002-5444-5246	Q41549994		
0000-0002-8992-2452	Q57065276		neuroplastic
0000-0003-2794-8494	Q47502115		
0000-0002-3003-4055	Q55742341		
0000-0001-7512-2449	Q56446494		
0000-0001-7624-8975	Q57079397		
0000-0003-3283-829X	Q59675566	kelly_sovacool	kelly-sovacool
0000-0003-2764-671X	Q57480186		
0000-0001-7183-5564	Q57517877		
0000-0002-4819-1884	Q59257945	pjasimoes	
0000-0001-8643-0893	Q92958806		
0000-0002-5486-650X	Q102063965		
0000-0001-9760-8992	Q41046213		
0000-0003-3140-1483	Q104281955		
0000-0003-0411-4390	Q42402423		
0000-0001-7364-1122	Q43076798		
0000-0002-6523-6642	Q48152325		
0000-0002-3207-0068	Q55099916		
0000-0003-3137-7655	Q97594539		
0000-0002-9623-7007	Q5548822	profgeraintrees	
0000-0002-8444-5554	Q44175836		
0000-0002-5720-7761	Q98937571		
0000-0001-6996-7496	Q56614300		
0000-0002-0781-3325	Q106396375	megan__phillips	
0000-0001-9928-3968	Q83446723		
0000-0002-7590-3824	Q90240697		
0000-0002-5823-0218	Q90394594		
0000-0001-6723-6833	Q54552655		pboesu
0000-0002-5547-7848	Q59696213		
0000-0003-3645-6264	Q49765503		
0000-0002-7078-0650	Q6551969		
0000-0001-6287-1598	Q87457245	chasewnelson	chasewnelson
0000-0003-2334-2751	Q54900881		
0000-0001-5198-1759	Q55155130		
0000-0002-9791-9472	Q55688402		
0000-0002-0630-3825	Q48081334	joachimgoedhart	JoachimGoedhart
0000-0002-3265-7715	Q63392496		
0000-0003-2386-8876	Q73101156		
0000-0001-7479-8439	Q58228892		
0000-0001-9262-7860	Q58423424		
0000-0003-4312-3804	Q37604877	keholsinger	
0000-0002-6635-6160	Q90176334		
0000-0001-5838-1027	Q90245498		
0000-0002-1918-9216	Q56945458		
0000-0003-2346-9787	Q47196343		
0000-0002-4360-2648	Q57073725		
0000-0002-8277-4434	Q62109773	a_aspuru_guzik	
0000-0001-9497-919X	Q79936281		
0000-0001-5247-1320	Q37376865		
0000-0001-5329-475X	Q42768951		
0000-0003-0010-3416	Q42786162		
0000-0002-7545-7967	Q42874395		
0000-0002-1604-2622	Q62085850		
0000-0002-4793-7541	Q57082254	apdavison	
0000-0001-7382-8704	Q88503753		
0000-0002-9693-0207	Q89109362		
0000-0003-3656-4257	Q38591111		
0000-0002-0203-6803	Q58835603	AlexHgO	
0000-0002-4713-8328	Q91359163		
0000-0003-1202-9153	Q47697141		
0000-0002-1188-7773	Q56250323	Luscinia_joshua	
0000-0001-5594-9713	Q81816430		
0000-0001-5691-5419	Q48778882		
0000-0002-5252-4485	Q82937266		
0000-0002-4974-5631	Q88325622		
0000-0002-2759-6508	Q88809852		
0000-0002-5427-8951	Q38802679		
0000-0001-9110-7441	Q63660112		
0000-0001-7833-3030	Q104555730		
0000-0003-2542-358X	Q46920046		
0000-0001-6045-108X	Q64536326		
0000-0002-7561-0810	Q64854723		DrYak
0000-0002-9381-8375	Q89005425		
0000-0002-3621-5957	Q57419308		
0000-0002-0068-716X	Q15285878	CameronNeylon	
0000-0002-6760-1869	Q90816154		
0000-0002-3475-2839	Q98568676		
0000-0002-5668-7046	Q60320397		
0000-0001-9655-1656	Q100420964		
0000-0003-2652-9976	Q100755014		
0000-0002-7935-739X	Q61037731		
0000-0002-3982-4539	Q41045016		
0000-0002-3437-3329	Q28914646	marc_rr	
0000-0002-9536-010X	Q41044602	laurentperrinet	laurentperrinet
0000-0002-3122-0298	Q6274894	zittrain	
0000-0003-4229-939X	Q48055840		
0000-0001-5934-7525	Q47489956	danielskatz	
0000-0003-0007-8150	Q56487498		
0000-0002-0336-9589	Q38589428		
0000-0003-3170-3879	Q59699566	vtraag	vtraag
