orcid	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0000-0001-5130-6497	-0.19439422	-0.132203	0.13859233	-0.08155555	0.18747906	0.120921545	-0.27197853	-0.29483166	0.39038855	0.09251755	0.201742	0.12759812	0.15551917	-0.2280233	-0.16739255	-0.2380213	-0.13404731	-0.15900466	-0.2638449	-0.16277388	-0.101799235	-0.022091309	-0.19633074	-0.014610006	0.0662865	0.0686545	-0.036251668	-0.23514535	0.123218745	-0.20248973	-0.10007972	-0.09231543
0000-0001-5138-5367	0.11199096	-0.2907665	0.06056871	-0.016104463	0.34870237	0.22127037	-0.060712468	0.2746227	0.007317056	-0.1159801	-0.13575035	-0.07291254	0.18821245	0.12504928	-0.30666277	-0.027391827	-0.04881927	0.1535438	0.19017965	0.03247179	0.2160115	0.29782936	-0.06836362	0.07217121	0.08245674	0.17505932	0.25535583	0.1610735	-0.30195534	-0.19163543	-0.0090847025	-0.034902338
0000-0001-5152-1357	0.18739545	0.2128718	0.0006190389	-0.07971865	0.119768724	0.31056663	-0.27308005	-0.16784854	0.11851695	0.07530866	0.011042974	0.16922607	-0.12101353	-0.18955593	0.0878846	0.18112129	-0.09137718	0.2303381	-0.115578875	-0.08012476	-0.20650938	-0.12891127	-0.25847793	0.04323108	-0.15221138	0.25283393	-0.18747468	-0.3238624	-0.058707315	-0.2979178	-0.0033999821	-0.17782472
0000-0001-5175-0176	-0.0969957	0.047852244	-0.22287083	0.19221096	0.36806172	0.1885306	0.08524723	0.3784713	0.0032852448	-0.13777518	-0.1220372	-0.23734424	-0.005849463	-0.0012415011	-0.028395398	-0.22306411	-0.17270759	-0.08794121	0.17795675	-0.112020224	-0.054826118	-0.295335	0.042744152	0.15576576	0.24526368	-0.04625149	0.15397115	0.1742181	-0.14238667	-0.25359446	0.1824751	-0.08377299
0000-0001-5178-3496	-0.076409645	0.18832561	-0.09126174	0.20993167	-0.22808728	0.122101925	0.05040369	0.19148909	-0.120002374	-0.10765555	0.050508928	0.18344824	0.10071895	0.04767391	0.10629412	-0.12303283	-0.16906145	0.04421036	-0.11781262	-0.3605446	0.045325514	0.17642707	0.03834797	0.38065574	0.23300642	-0.1061022	-0.010783514	-0.120631635	0.24606897	-0.25419322	0.13496149	0.348642
0000-0001-5182-1421	-0.29138952	-0.038424123	0.02756848	-0.1836646	0.17671007	-0.36892033	0.16500773	-0.111695826	0.24843557	0.29229036	-0.086108685	0.18289553	-0.2844138	-0.23046662	0.05520592	-0.03387236	-0.08600493	0.040264677	0.05239366	-0.15681282	0.1248407	0.016101584	0.051873088	0.118902236	0.0099250665	0.18094222	0.015035636	0.24819782	-0.35355654	-0.09130811	-0.20584641	0.08040601
0000-0001-5192-2804	0.057223257	-0.21282199	-0.015697999	0.06669552	0.31498224	0.20110445	-0.04684611	0.1324786	-0.10991295	-0.028950421	-0.050597776	-0.4362147	-0.10831683	0.060679983	-0.058470063	-0.06787428	-0.2852094	-0.09224679	0.17379518	0.14217998	0.25284508	-0.16174315	-0.32609454	-0.11431624	0.21384217	0.13888499	0.18382615	0.06988243	-0.2925082	-0.10762795	0.07625743	-0.041346807
0000-0001-5198-1759	0.07990807	-0.24202332	0.021088263	-0.047191244	-0.20552747	0.13053888	-0.08167763	-0.08889597	-0.15828282	-0.312225	-0.17936195	0.008605494	-0.010099975	-0.23039389	-0.06339497	0.23392543	-0.19161609	0.16122866	-0.072755136	0.08396054	-0.2200719	-0.24506639	0.18899557	0.100295365	-0.011684771	-0.3277979	-0.14431567	-0.0609203	-0.20428218	-0.3309386	0.05835452	-0.2751386
0000-0001-5202-351X	0.20414846	0.28009188	-0.23584723	-0.2707178	0.13675964	-0.16963337	-0.02140664	-0.15552452	-0.12986712	-0.003232992	0.061724834	0.168497	0.0929048	0.056448065	-0.20070077	0.00034278995	-0.1815654	0.29657692	0.36532587	-0.14059097	-0.12889627	-0.22291091	-0.20096856	0.13231304	-0.16206333	-0.07663607	0.06808023	0.1400041	0.12599233	0.16589019	-0.2188719	-0.17786203
0000-0001-5218-134X	-0.09175533	-0.046980906	-0.017078683	0.11794561	0.25960678	-0.050169356	-0.015605857	0.2927112	-0.041208778	-0.0037199515	0.17961513	-0.4682141	0.050280247	0.3211353	-0.106597655	0.30160436	-0.3125759	-0.03390128	0.22609723	0.117775306	0.14402896	-0.01496544	-0.05428263	0.018525643	0.13898732	-0.15471984	0.124433935	-0.054205373	-0.28191596	-0.13986792	0.087275006	-0.041431926
0000-0001-5231-4763	0.01902566	-0.08935053	0.10551001	0.10138474	-0.036324054	-0.01696032	-0.1284642	0.09943578	0.082538724	-0.20220923	-0.30434653	0.15028983	-0.22512473	0.15689175	-0.10601573	-0.12307791	0.289744	0.08857165	-0.24659151	-0.20231086	0.19410282	-0.19749565	-0.2663598	-0.032758046	0.09318927	-0.07305715	-0.12000184	0.19811036	0.15095207	0.37698033	0.115776815	0.29906365
0000-0001-5237-1899	0.1637859	-0.29059085	-0.07529993	-0.23086794	-0.12290839	0.04405859	-0.00898465	0.19700518	-0.4083243	0.028454693	0.11650857	0.05716997	0.27599326	-0.10373421	0.07601657	0.103268184	-0.12669429	0.32180434	0.13410869	0.0860024	0.11711827	-0.13030255	-0.04505881	-0.33680066	0.14567739	0.035436504	0.24655162	0.23101771	-0.043482948	-0.14190103	0.04356109	-0.18535213
0000-0001-5245-0570	0.01355727	-0.055158857	0.26574373	0.0026168753	-0.18177845	0.065156065	-0.17896487	-0.1043704	-0.20968673	-0.2563092	-0.11684746	-0.27957147	-0.085728526	0.17412646	0.14477867	-0.21665472	-0.10219738	-0.25436655	-0.0049006026	0.40557334	0.19300556	-0.109776706	-0.07270868	0.19699858	-0.20210055	-0.24617657	-0.21934274	-0.048022043	0.08523869	-0.11407754	0.16719157	0.07574775
